,created_at,Methane,Ethanol,Humidity,Temperature,Date,Time,Hour,Mins,Secs,Year,Month,Day,E1,M1,E2,M2,E3,M3,M4,E4,M5,E5,Quality
719,2022-07-05T01:14:02+05:30,204.0,164.0,95.0,31.4,2022-07-05,01:14:02,1,14,2,2022,7,5,157.6,203.4,157.50324345679954,203.38904571842465,3.8760804945202065,1.5231546211727809,0.011497278295160101,0.009981431269457788,0.9241666874486496,0.8794948759295038,9.2
720,2022-07-05T01:14:19+05:30,202.0,160.0,95.0,31.2,2022-07-05,01:14:19,1,14,19,2022,7,5,159.2,204.0,159.09008401786843,203.9901957485993,4.5351956958878885,1.493987951758649,0.011474734612228414,0.010019049729016048,0.9222946727243658,0.8753185034945314,8.988065881094487
721,2022-07-05T01:14:36+05:30,206.0,156.0,95.0,31.2,2022-07-05,01:14:36,1,14,36,2022,7,5,159.8,203.6,159.7288794136956,203.583079093888,4.128922377570212,1.8910314645716497,0.011497278295160101,0.009881115377302433,0.923545183701862,0.8738476126568591,8.986963981793606
722,2022-07-05T01:14:54+05:30,205.0,163.0,95.0,31.4,2022-07-05,01:14:54,1,14,54,2022,7,5,157.6,204.0,157.5228344266447,203.97834407919277,3.2643529220965113,2.3562682360036993,0.011474734612228414,0.009793338971666498,0.9223133662092342,0.8796575254093145,9.009854458092743
723,2022-07-05T01:15:11+05:30,201.0,156.0,95.0,31.0,2022-07-05,01:15:11,1,15,11,2022,7,5,156.2,203.6,156.11643472817448,203.5672222484695,3.4467375879228204,2.3916521486202744,0.011429647246365042,0.009780799485147079,0.923637825547847,0.883314739828912,9.034762826883796
724,2022-07-05T01:15:28+05:30,206.0,153.0,95.0,31.1,2022-07-05,01:15:28,1,15,28,2022,7,5,156.0,202.8,155.91510379248916,202.77364218340213,3.0000000000000004,2.154065922853794,0.011395831721967512,0.00975572051210824,0.9261851742979028,0.8838610278093344,9.050231010536185
725,2022-07-05T01:15:45+05:30,200.0,153.0,95.0,31.1,2022-07-05,01:15:45,1,15,45,2022,7,5,155.6,202.2,155.5454526794462,202.1796305909815,2.857971308463399,2.137288001182801,0.011418375404899199,0.009730641539069402,0.9280459296566442,0.884885653682429,9.064657916695367
726,2022-07-05T01:16:02+05:30,202.0,155.0,95.0,31.2,2022-07-05,01:16:02,1,16,2,2022,7,5,155.2,202.6,155.14365630498227,202.58114794663229,3.3704599092705427,1.8022208521710037,0.011429647246365042,0.009780799485147079,0.9267704348567386,0.8858767897291617,9.063236122929501
727,2022-07-05T01:16:19+05:30,202.0,161.0,95.0,31.2,2022-07-05,01:16:19,1,16,19,2022,7,5,156.0,202.8,155.94943677440102,202.77381316798724,3.1035463586033307,2.0218803129760206,0.011463462770762572,0.009906194350341272,0.9261172735573332,0.8836659656829042,9.048916196201187
728,2022-07-05T01:16:36+05:30,203.0,154.0,95.0,31.0,2022-07-05,01:16:36,1,16,36,2022,7,5,158.0,203.4,157.9245151001347,203.3832831758324,4.252058325093859,1.8220867158288654,0.011452190929296727,0.009881115377302433,0.9242208639984125,0.8785286052718733,9.013747346351428
729,2022-07-05T01:16:53+05:30,207.0,157.0,95.0,31.2,2022-07-05,01:16:53,1,16,53,2022,7,5,157.6,203.2,157.50496805049968,203.1797298507163,4.431703961232069,2.1945386758952403,0.011497278295160101,0.009780799485147079,0.9248122960727951,0.8796932679817364,9.022527820272657
730,2022-07-05T01:17:10+05:30,203.0,163.0,95.0,31.2,2022-07-05,01:17:10,1,17,10,2022,7,5,156.0,204.0,155.90993123080165,203.97649789335532,3.998999874968741,2.5953805116013364,0.01148600645369426,0.009768259998627661,0.9223050063328115,0.8838552059353962,9.030801061341037
731,2022-07-05T01:17:27+05:30,201.0,153.0,95.0,31.2,2022-07-05,01:17:27,1,17,27,2022,7,5,155.8,203.8,155.7038724917086,203.77377116943362,3.6044417043420203,2.627546383986402,0.011429647246365042,0.00975572051210824,0.9229965811930141,0.8843950944337247,9.036958378133694
732,2022-07-05T01:17:44+05:30,206.0,153.0,95.0,31.0,2022-07-05,01:17:44,1,17,44,2022,7,5,155.6,202.8,155.50615152169217,202.78552866894435,3.6485613603172427,2.1279097725232603,0.011440919087830886,0.009655404619952885,0.9261213385321307,0.8850119310661613,9.05566634799146
733,2022-07-05T01:18:02+05:30,202.0,153.0,95.0,31.1,2022-07-05,01:18:02,1,18,2,2022,7,5,154.0,203.0,153.98966059788717,202.98432265707106,2.0396078054371185,2.1279097725232603,0.011474734612228414,0.009693023079511143,0.9254585104081643,0.8890217034167393,9.072401069124519
734,2022-07-05T01:18:19+05:30,202.0,156.0,95.0,30.0,2022-07-05,01:18:19,1,18,19,2022,7,5,154.6,203.6,154.58807601664745,203.58902532617037,1.697056274847714,1.7412639087743076,0.011440919087830886,0.009830957431224757,0.9235921639939193,0.8873273854042981,9.054597746991087
735,2022-07-05T01:18:36+05:30,204.0,155.0,95.0,31.3,2022-07-05,01:18:36,1,18,36,2022,7,5,156.8,203.0,156.7121322670211,202.99605909417403,2.873325599370881,1.1730302638892136,0.011463462770762572,0.009856036404263595,0.9254512705191837,0.8816866489632414,9.035689597412127
736,2022-07-05T01:18:53+05:30,204.0,156.0,95.0,30.5,2022-07-05,01:18:53,1,18,53,2022,7,5,157.2,203.4,157.12746061432148,203.39684299594433,3.2199378875997033,1.0990905331227265,0.011519821978091788,0.009918733836860691,0.9241318452207342,0.8805650835471374,9.023484643839359
