,created_at,Methane,Ethanol,Humidity,Temperature,Date,Time,Hour,Mins,Secs,Year,Month,Day,E1,M1,E2,M2,E3,M3,M4,E4,M5,E5,Quality
2512,2022-07-05T09:53:07+05:30,241.0,204.0,95.0,31.0,2022-07-05,09:53:07,9,53,7,2022,7,5,201.0,243.8,200.98009743338983,243.78131772664122,1.7888543819998324,1.4057026712644514,0.013796733954192123,0.012602183952016429,0.7944346260984242,0.7640470401604643,7.7924083312944425
2513,2022-07-05T09:53:25+05:30,245.0,200.0,95.0,31.0,2022-07-05,09:53:25,9,53,25,2022,7,5,201.0,244.8,200.9800974333898,244.76342236875624,1.8352111595127119,1.4477568856683152,0.013920724210316397,0.012614723438535848,0.7911842878263456,0.7640345006739448,7.776093942501452
2514,2022-07-05T09:53:42+05:30,247.0,201.0,95.0,31.0,2022-07-05,09:53:42,9,53,42,2022,7,5,201.2,247.0,201.17730093308703,246.93520482786508,2.185406140743635,2.2873565528793267,0.013988355259111455,0.01255202600593875,0.784221100848357,0.7635813494056366,7.739012251269967
2515,2022-07-05T09:53:59+05:30,249.0,198.0,95.0,31.1,2022-07-05,09:53:59,9,53,59,2022,7,5,200.2,248.2,200.18526400582155,248.17058482408427,1.8352111595127119,2.076535576386784,0.014022170783508987,0.012539486519419333,0.7803459919545285,0.7661809498366565,7.732634708955926
2516,2022-07-05T09:54:16+05:30,253.0,203.0,95.0,31.1,2022-07-05,09:54:16,9,54,16,2022,7,5,200.0,248.8,199.98408879169227,248.78026168090494,1.953458471531965,2.105231578710522,0.014022170783508987,0.012564565492458171,0.778437984293928,0.7666768776352142,7.725574309645711
2517,2022-07-05T09:54:33+05:30,247.0,199.0,95.0,31.0,2022-07-05,09:54:33,9,54,33,2022,7,5,200.4,248.8,200.37692458001192,248.78026168090494,2.078460969082652,2.1222629431811684,0.014022170783508987,0.012589644465497011,0.778437984293928,0.7656221417942277,7.720300630440779
2518,2022-07-05T09:54:50+05:30,248.0,199.0,95.0,31.0,2022-07-05,09:54:50,9,54,50,2022,7,5,200.8,248.8,200.78331187840772,248.7802616809049,2.078460969082652,2.159629597870891,0.013954539734713927,0.012627262925055269,0.7785056153427231,0.7645372671029868,7.7152144122285495
2519,2022-07-05T09:55:07+05:30,247.0,203.0,95.0,31.1,2022-07-05,09:55:07,9,55,7,2022,7,5,201.4,247.6,201.36340290513883,247.59742220346413,2.3255106965997845,1.1242775458044196,0.01396581157617977,0.012677420871132944,0.782252765389965,0.7629545234079075,7.726036443989362
2520,2022-07-05T09:55:24+05:30,249.0,200.0,95.0,31.2,2022-07-05,09:55:24,9,55,24,2022,7,5,202.2,247.8,202.16959261492693,247.79774244068548,2.3255106965997845,0.7899367063252597,0.01396581157617977,0.012677420871132944,0.7816213454574393,0.760868562745845,7.712449541016422
2521,2022-07-05T09:55:41+05:30,247.0,206.0,95.0,31.2,2022-07-05,09:55:41,9,55,41,2022,7,5,202.2,247.8,202.1695926149269,247.79774244068548,2.821347195933178,0.7099295739719504,0.013988355259111455,0.012639802411574686,0.7815988017745077,0.7609061812054033,7.7125249148995545
